"StichtagDatJahr","StatZoneSort","StatZoneLang","QuarSort","QuarLang","KreisSort","HerkunftSort","HerkunftCd","HerkunftLang","Kon2AggSort_noDM","Kon2AggCd_noDM","Kon2AggLang_noDM","AnzBestWir"
1993,15,"Bahnhofplatz",14,"City",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",11
1993,15,"Bahnhofplatz",14,"City",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",73
1993,16,"Sihlporte",14,"City",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",57
1993,16,"Sihlporte",14,"City",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",59
1993,16,"Sihlporte",14,"City",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",43
1993,16,"Sihlporte",14,"City",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",4
1993,16,"Sihlporte",14,"City",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",51
1993,16,"Sihlporte",14,"City",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",27
1993,17,"Selnaustrasse",14,"City",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",118
1993,17,"Selnaustrasse",14,"City",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",90
1993,17,"Selnaustrasse",14,"City",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",101
1993,17,"Selnaustrasse",14,"City",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",2
1993,17,"Selnaustrasse",14,"City",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",44
1993,17,"Selnaustrasse",14,"City",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",46
1993,18,"Paradeplatz",14,"City",1,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",45
1993,18,"Paradeplatz",14,"City",1,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",22
1993,18,"Paradeplatz",14,"City",1,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",13
1993,18,"Paradeplatz",14,"City",1,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",4
1993,18,"Paradeplatz",14,"City",1,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",33
1993,18,"Paradeplatz",14,"City",1,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",9
1993,21,"Bahnhof Wollishofen",21,"Wollishofen",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",138
1993,21,"Bahnhof Wollishofen",21,"Wollishofen",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",81
1993,21,"Bahnhof Wollishofen",21,"Wollishofen",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",54
1993,21,"Bahnhof Wollishofen",21,"Wollishofen",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",6
1993,21,"Bahnhof Wollishofen",21,"Wollishofen",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",102
1993,21,"Bahnhof Wollishofen",21,"Wollishofen",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",55
1993,22,"Bellariastrasse",21,"Wollishofen",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",880
1993,22,"Bellariastrasse",21,"Wollishofen",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",642
1993,22,"Bellariastrasse",21,"Wollishofen",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",576
1993,22,"Bellariastrasse",21,"Wollishofen",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",48
1993,22,"Bellariastrasse",21,"Wollishofen",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",233
1993,22,"Bellariastrasse",21,"Wollishofen",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",187
1993,23,"Muggenbühl",21,"Wollishofen",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",724
1993,23,"Muggenbühl",21,"Wollishofen",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",471
1993,23,"Muggenbühl",21,"Wollishofen",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",310
1993,23,"Muggenbühl",21,"Wollishofen",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",24
1993,23,"Muggenbühl",21,"Wollishofen",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",189
1993,23,"Muggenbühl",21,"Wollishofen",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",132
1993,24,"Morgental",21,"Wollishofen",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",478
1993,24,"Morgental",21,"Wollishofen",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",276
1993,24,"Morgental",21,"Wollishofen",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",183
1993,24,"Morgental",21,"Wollishofen",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",6
1993,24,"Morgental",21,"Wollishofen",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",151
1993,24,"Morgental",21,"Wollishofen",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",148
1993,25,"Manegg",21,"Wollishofen",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",15
1993,25,"Manegg",21,"Wollishofen",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",12
1993,25,"Manegg",21,"Wollishofen",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",6
1993,25,"Manegg",21,"Wollishofen",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",1
1993,25,"Manegg",21,"Wollishofen",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",6
1993,25,"Manegg",21,"Wollishofen",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",23
1993,26,"Waschanstalt",21,"Wollishofen",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",36
1993,26,"Waschanstalt",21,"Wollishofen",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",20
1993,26,"Waschanstalt",21,"Wollishofen",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",23
1993,26,"Waschanstalt",21,"Wollishofen",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",2
1993,26,"Waschanstalt",21,"Wollishofen",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",6
1993,26,"Waschanstalt",21,"Wollishofen",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",4
1993,27,"Auf der Egg",21,"Wollishofen",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",565
1993,27,"Auf der Egg",21,"Wollishofen",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",443
1993,27,"Auf der Egg",21,"Wollishofen",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",244
1993,27,"Auf der Egg",21,"Wollishofen",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",17
1993,27,"Auf der Egg",21,"Wollishofen",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",124
1993,27,"Auf der Egg",21,"Wollishofen",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",181
1993,28,"Kalchbühl",21,"Wollishofen",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",1099
1993,28,"Kalchbühl",21,"Wollishofen",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",635
1993,28,"Kalchbühl",21,"Wollishofen",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",466
1993,28,"Kalchbühl",21,"Wollishofen",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",39
1993,28,"Kalchbühl",21,"Wollishofen",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",222
1993,28,"Kalchbühl",21,"Wollishofen",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",201
1993,29,"Entlisberg",21,"Wollishofen",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",1506
1993,29,"Entlisberg",21,"Wollishofen",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",887
1993,29,"Entlisberg",21,"Wollishofen",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",587
1993,29,"Entlisberg",21,"Wollishofen",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",40
1993,29,"Entlisberg",21,"Wollishofen",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",404
1993,29,"Entlisberg",21,"Wollishofen",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",288
1993,30,"Verenastrasse",21,"Wollishofen",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",456
1993,30,"Verenastrasse",21,"Wollishofen",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",281
1993,30,"Verenastrasse",21,"Wollishofen",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",205
1993,30,"Verenastrasse",21,"Wollishofen",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",8
1993,30,"Verenastrasse",21,"Wollishofen",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",47
1993,30,"Verenastrasse",21,"Wollishofen",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",58
1993,31,"Seeblickstrasse",21,"Wollishofen",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",287
1993,31,"Seeblickstrasse",21,"Wollishofen",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",167
1993,31,"Seeblickstrasse",21,"Wollishofen",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",103
1993,31,"Seeblickstrasse",21,"Wollishofen",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",10
1993,31,"Seeblickstrasse",21,"Wollishofen",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",64
1993,31,"Seeblickstrasse",21,"Wollishofen",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",45
1993,34,"Höckler",23,"Leimbach",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",528
1993,34,"Höckler",23,"Leimbach",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",404
1993,34,"Höckler",23,"Leimbach",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",217
1993,34,"Höckler",23,"Leimbach",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",14
1993,34,"Höckler",23,"Leimbach",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",115
1993,34,"Höckler",23,"Leimbach",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",90
1993,35,"Marbachweg",23,"Leimbach",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",692
1993,35,"Marbachweg",23,"Leimbach",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",320
1993,35,"Marbachweg",23,"Leimbach",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",175
1993,35,"Marbachweg",23,"Leimbach",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",5
1993,35,"Marbachweg",23,"Leimbach",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",66
1993,35,"Marbachweg",23,"Leimbach",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",78
1993,36,"Sihlweidstrasse",23,"Leimbach",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",706
1993,36,"Sihlweidstrasse",23,"Leimbach",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",516
1993,36,"Sihlweidstrasse",23,"Leimbach",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",293
1993,36,"Sihlweidstrasse",23,"Leimbach",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",38
1993,36,"Sihlweidstrasse",23,"Leimbach",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",166
1993,36,"Sihlweidstrasse",23,"Leimbach",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",132
1993,38,"Parkring",24,"Enge",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",254
1993,38,"Parkring",24,"Enge",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",187
1993,38,"Parkring",24,"Enge",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",216
1993,38,"Parkring",24,"Enge",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",10
1993,38,"Parkring",24,"Enge",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",53
1993,38,"Parkring",24,"Enge",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",92
1993,39,"Kongresshaus",24,"Enge",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",213
1993,39,"Kongresshaus",24,"Enge",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",155
1993,39,"Kongresshaus",24,"Enge",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",256
1993,39,"Kongresshaus",24,"Enge",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",14
1993,39,"Kongresshaus",24,"Enge",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",69
1993,39,"Kongresshaus",24,"Enge",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",84
1993,40,"Belvoir-Park",24,"Enge",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",343
1993,40,"Belvoir-Park",24,"Enge",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",240
1993,40,"Belvoir-Park",24,"Enge",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",290
1993,40,"Belvoir-Park",24,"Enge",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",29
1993,40,"Belvoir-Park",24,"Enge",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",87
1993,40,"Belvoir-Park",24,"Enge",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",124
1993,41,"Museum Rietberg",24,"Enge",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",1031
1993,41,"Museum Rietberg",24,"Enge",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",636
1993,41,"Museum Rietberg",24,"Enge",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",689
1993,41,"Museum Rietberg",24,"Enge",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",40
1993,41,"Museum Rietberg",24,"Enge",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",169
1993,41,"Museum Rietberg",24,"Enge",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",238
1993,42,"Rieterplatz",24,"Enge",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",641
1993,42,"Rieterplatz",24,"Enge",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",494
1993,42,"Rieterplatz",24,"Enge",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",482
1993,42,"Rieterplatz",24,"Enge",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",35
1993,42,"Rieterplatz",24,"Enge",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",337
1993,42,"Rieterplatz",24,"Enge",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",321
1993,43,"Gartenstrasse",24,"Enge",2,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",74
1993,43,"Gartenstrasse",24,"Enge",2,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",55
1993,43,"Gartenstrasse",24,"Enge",2,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",102
1993,43,"Gartenstrasse",24,"Enge",2,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",4
1993,43,"Gartenstrasse",24,"Enge",2,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",37
1993,43,"Gartenstrasse",24,"Enge",2,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",24
1993,47,"Höfliweg",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",1519
1993,47,"Höfliweg",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",1110
1993,47,"Höfliweg",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",669
1993,47,"Höfliweg",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",58
1993,47,"Höfliweg",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",426
1993,47,"Höfliweg",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",278
1993,48,"Goldbrunnenplatz",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",580
1993,48,"Goldbrunnenplatz",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",480
1993,48,"Goldbrunnenplatz",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",347
1993,48,"Goldbrunnenplatz",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",26
1993,48,"Goldbrunnenplatz",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",400
1993,48,"Goldbrunnenplatz",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",424
1993,49,"Gotthelfstrasse",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",508
1993,49,"Gotthelfstrasse",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",418
1993,49,"Gotthelfstrasse",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",331
1993,49,"Gotthelfstrasse",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",32
1993,49,"Gotthelfstrasse",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",343
1993,49,"Gotthelfstrasse",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",385
1993,50,"Manesseplatz",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",801
1993,50,"Manesseplatz",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",647
1993,50,"Manesseplatz",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",556
1993,50,"Manesseplatz",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",42
1993,50,"Manesseplatz",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",600
1993,50,"Manesseplatz",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",538
1993,51,"Binz",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",402
1993,51,"Binz",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",274
1993,51,"Binz",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",214
1993,51,"Binz",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",1,"1","Evangelisch-Reformiert",16
1993,51,"Binz",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",2,"2","Römisch-Katholisch",259
1993,51,"Binz",31,"Alt-Wiedikon",3,2,"2","Ausländer*in",3,"3","Andere, ohne, unbekannt",197
1993,52,"Saalsporthalle",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",1,"1","Evangelisch-Reformiert",522
1993,52,"Saalsporthalle",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",2,"2","Römisch-Katholisch",366
1993,52,"Saalsporthalle",31,"Alt-Wiedikon",3,1,"1","Schweizer*in",3,"3","Andere, ohne, unbekannt",237
